intent,user_input,bot_response,risk_level,escalation_required,age_group,guideline_reference
professional_help,These days Can therapy help me and it worries me,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,adult,WHO Suicide Prevention Guidance
suicide_warning,I feel trapped and hopeless,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,teen,WHO Suicide Prevention Guidance
mental_health_faq,Honestly Can stress affect physical health and it worries me,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,teen,WHO Mental Health Gap Action Programme
emotional_support,Lately I need comfort every day,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,child,WHO Suicide Prevention Guidance
stress_reaction,These days I cannot relax anymore,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,Lately I feel scared something bad will happen and it worries me,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,These days I feel tired all the time recently,I am sorry you are going through this. You deserve support and care.,high,yes,child,WHO Suicide Prevention Guidance
coping_mechanism,What can I do when I feel overwhelmed recently,Small daily self-care activities can support emotional resilience over time.,low,no,child,WHO Mental Health Gap Action Programme
professional_help,Lately I think I need emotional support every day,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,Sometimes I want to disappear,I am really concerned about your safety. Please contact a trusted person or emergency support service immediately.,critical,yes,child,WHO Psychological First Aid
mental_health_faq,Lately What are symptoms of burnout,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,Recently I need someone to talk to,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,adult,WHO Psychological First Aid
stress_reaction,Recently I keep worrying about deadlines and it worries me,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,senior,WHO Suicide Prevention Guidance
anxiety_symptoms,Lately My heart races when I think too much,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,adult,WHO Psychological First Aid
depression_symptoms,Sometimes I feel hopeless about life a lot,I am sorry you are going through this. You deserve support and care.,high,yes,adult,WHO Mental Health Gap Action Programme
coping_mechanism,Sometimes How do I stop overthinking and it worries me,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,child,WHO Psychological First Aid
professional_help,I want to speak to a counselor,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,teen,WHO Suicide Prevention Guidance
suicide_warning,I cannot continue anymore a lot,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,teen,WHO Psychological First Aid
mental_health_faq,These days What causes anxiety a lot,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,These days I need encouragement a lot,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,adult,WHO Suicide Prevention Guidance
stress_reaction,Everything feels stressful lately recently,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,senior,WHO Suicide Prevention Guidance
anxiety_symptoms,Recently I feel restless constantly recently,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,Honestly I feel empty inside and it worries me,I am sorry you are going through this. You deserve support and care.,high,yes,senior,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,How do I feel emotionally balanced and it worries me,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,adult,WHO Suicide Prevention Guidance
professional_help,Lately Can therapy help me lately,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,teen,WHO Mental Health Gap Action Programme
suicide_warning,These days Nobody would care if I was gone every day,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,teen,WHO Psychological First Aid
mental_health_faq,Recently Can therapy help depression lately,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,adult,WHO Mental Health Gap Action Programme
emotional_support,Honestly I just want support and it worries me,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,teen,WHO Mental Health Gap Action Programme
stress_reaction,Recently I feel pressure all the time lately,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,I feel scared something bad will happen lately,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,Lately I feel empty inside and it worries me,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,child,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,Lately How do I feel emotionally balanced recently,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,child,WHO Suicide Prevention Guidance
professional_help,Lately How do I ask for mental health help a lot,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,Recently Life feels pointless and it worries me,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,adult,WHO Psychological First Aid
mental_health_faq,These days What are warning signs of depression and it worries me,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,adult,WHO Suicide Prevention Guidance
emotional_support,Sometimes I feel lonely lately,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,teen,WHO Suicide Prevention Guidance
stress_reaction,Recently I cannot manage my workload recently,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,Sometimes I feel scared something bad will happen lately,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,child,WHO Psychological First Aid
depression_symptoms,Recently I feel disconnected from people a lot,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,teen,WHO Psychological First Aid
coping_mechanism,Honestly How do I stop overthinking lately,Small daily self-care activities can support emotional resilience over time.,low,no,adult,WHO Suicide Prevention Guidance
professional_help,What happens in therapy every day,"Reaching out for help shows strength, not weakness.",medium,no,teen,WHO Suicide Prevention Guidance
suicide_warning,Lately Nobody would care if I was gone,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,child,WHO Psychological First Aid
mental_health_faq,Sometimes How common are mental illnesses lately,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,adult,WHO Suicide Prevention Guidance
emotional_support,These days I am struggling emotionally recently,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,child,WHO Suicide Prevention Guidance
stress_reaction,Sometimes I feel overwhelmed with work recently,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,These days I cannot sleep because of anxiety every day,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,senior,WHO Psychological First Aid
depression_symptoms,Sometimes I feel empty inside a lot,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,teen,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,Honestly What helps during panic attacks a lot,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,child,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,These days Can therapy help me and it worries me,"Reaching out for help shows strength, not weakness.",medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,I feel suicidal,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,child,WHO Suicide Prevention Guidance
mental_health_faq,Recently What is a panic attack and it worries me,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,These days I feel isolated every day,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,senior,WHO Psychological First Aid
stress_reaction,I feel burned out a lot,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,These days I overthink every situation lately,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,adult,WHO Mental Health Gap Action Programme
depression_symptoms,I feel hopeless about life,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,child,WHO Suicide Prevention Guidance
coping_mechanism,These days How can I sleep better during stress every day,Small daily self-care activities can support emotional resilience over time.,low,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,Lately How do I know if I need professional help a lot,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,Recently I feel trapped and hopeless,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,senior,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,Can stress affect physical health a lot,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,Sometimes I feel emotionally weak a lot,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,Everything feels stressful lately lately,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,child,WHO Psychological First Aid
anxiety_symptoms,My heart races when I think too much recently,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,teen,WHO Suicide Prevention Guidance
depression_symptoms,I feel tired all the time,I am sorry you are going through this. You deserve support and care.,high,yes,adult,WHO Mental Health Gap Action Programme
coping_mechanism,How do I feel emotionally balanced and it worries me,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,child,WHO Suicide Prevention Guidance
professional_help,Sometimes I want to speak to a counselor lately,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,adult,WHO Suicide Prevention Guidance
suicide_warning,These days I am thinking about hurting myself every day,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,adult,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,Sometimes Can therapy help depression recently,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,child,WHO Psychological First Aid
emotional_support,I need encouragement lately,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,Recently I feel overwhelmed with work every day,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,teen,WHO Psychological First Aid
anxiety_symptoms,Recently I feel scared something bad will happen lately,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,teen,WHO Mental Health Gap Action Programme
depression_symptoms,These days I feel emotionally numb every day,I am sorry you are going through this. You deserve support and care.,high,yes,child,WHO Psychological First Aid
coping_mechanism,Recently What helps during panic attacks lately,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,senior,WHO Mental Health Gap Action Programme
professional_help,Sometimes When should someone seek mental health support a lot,"Reaching out for help shows strength, not weakness.",medium,no,child,WHO Suicide Prevention Guidance
suicide_warning,These days I cannot continue anymore and it worries me,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,child,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,Honestly How common are mental illnesses a lot,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,Sometimes I am struggling emotionally a lot,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,These days I feel pressure all the time a lot,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,child,WHO Mental Health Gap Action Programme
anxiety_symptoms,Lately I cannot sleep because of anxiety every day,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,senior,WHO Psychological First Aid
depression_symptoms,These days I stay in bed all day lately,Thank you for sharing your feelings. Even small acts of self-care can be meaningful during difficult times.,high,yes,child,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,How can I sleep better during stress a lot,Small daily self-care activities can support emotional resilience over time.,low,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,These days I want to speak to a counselor every day,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,senior,WHO Suicide Prevention Guidance
suicide_warning,Lately I want the pain to stop and it worries me,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,adult,WHO Mental Health Gap Action Programme
mental_health_faq,Is anxiety treatable,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,Lately I feel lonely every day,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,senior,WHO Mental Health Gap Action Programme
stress_reaction,Recently I am mentally exhausted recently,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,teen,WHO Suicide Prevention Guidance
anxiety_symptoms,Honestly I cannot sleep because of anxiety a lot,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,Nothing makes me happy anymore recently,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,senior,WHO Psychological First Aid
coping_mechanism,Lately How do I manage stress better lately,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,Lately I want to speak to a counselor a lot,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,child,WHO Psychological First Aid
suicide_warning,Honestly I cannot continue anymore a lot,I am really concerned about your safety. Please contact a trusted person or emergency support service immediately.,critical,yes,senior,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,These days How common are mental illnesses lately,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,child,WHO Psychological First Aid
emotional_support,These days Nobody understands me and it worries me,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,Honestly I cannot manage my workload a lot,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,teen,WHO Mental Health Gap Action Programme
anxiety_symptoms,Honestly I feel restless constantly lately,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,senior,WHO Psychological First Aid
depression_symptoms,I feel sad every day recently,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,adult,WHO Psychological First Aid
coping_mechanism,Can breathing exercises help anxiety and it worries me,Small daily self-care activities can support emotional resilience over time.,low,no,adult,WHO Mental Health Gap Action Programme
professional_help,These days Can therapy help me and it worries me,"Reaching out for help shows strength, not weakness.",medium,no,teen,WHO Suicide Prevention Guidance
suicide_warning,Lately I feel trapped and hopeless and it worries me,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,teen,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,These days What is depression recently,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,child,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,These days I feel isolated and it worries me,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,child,WHO Mental Health Gap Action Programme
stress_reaction,Lately My responsibilities are too much,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,child,WHO Psychological First Aid
anxiety_symptoms,Lately I avoid situations because I get anxious a lot,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,Lately I feel empty inside lately,I am sorry you are going through this. You deserve support and care.,high,yes,senior,WHO Psychological First Aid
coping_mechanism,These days How do I feel emotionally balanced a lot,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,senior,WHO Mental Health Gap Action Programme
professional_help,Honestly How do I ask for mental health help a lot,"Reaching out for help shows strength, not weakness.",medium,no,senior,WHO Psychological First Aid
suicide_warning,I do not want to live anymore,I am really concerned about your safety. Please contact a trusted person or emergency support service immediately.,critical,yes,child,WHO Suicide Prevention Guidance
mental_health_faq,Can children experience anxiety recently,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,senior,WHO Psychological First Aid
emotional_support,Sometimes I feel lonely lately,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,senior,WHO Psychological First Aid
stress_reaction,I feel tension in my body every day every day,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,Sometimes I cannot sleep because of anxiety recently,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,senior,WHO Mental Health Gap Action Programme
depression_symptoms,Lately I do not enjoy activities anymore a lot,I am sorry you are going through this. You deserve support and care.,high,yes,child,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,How do I feel emotionally balanced recently,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,senior,WHO Psychological First Aid
professional_help,Lately Do I need counseling recently,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,I want to disappear,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,child,WHO Psychological First Aid
mental_health_faq,Sometimes Can therapy help depression a lot,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,child,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,Recently I feel emotionally weak every day,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,These days I feel tension in my body every day every day,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,Lately My heart races when I think too much,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,Lately I lost interest in everything recently,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,teen,WHO Psychological First Aid
coping_mechanism,These days What can I do when I feel overwhelmed recently,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,senior,WHO Mental Health Gap Action Programme
professional_help,Honestly What happens in therapy lately,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,teen,WHO Suicide Prevention Guidance
suicide_warning,Honestly I feel trapped and hopeless a lot,I am really concerned about your safety. Please contact a trusted person or emergency support service immediately.,critical,yes,senior,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,Can children experience anxiety a lot,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,Sometimes I need encouragement and it worries me,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,adult,WHO Suicide Prevention Guidance
stress_reaction,Recently I feel burned out and it worries me,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,child,WHO Psychological First Aid
anxiety_symptoms,These days My heart races when I think too much recently,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,senior,WHO Mental Health Gap Action Programme
depression_symptoms,Honestly I feel emotionally numb every day,I am sorry you are going through this. You deserve support and care.,high,yes,adult,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,Can breathing exercises help anxiety,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,I think I need emotional support and it worries me,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,adult,WHO Suicide Prevention Guidance
suicide_warning,These days I want to disappear recently,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,adult,WHO Psychological First Aid
mental_health_faq,What are warning signs of depression and it worries me,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,adult,WHO Suicide Prevention Guidance
emotional_support,These days Nobody understands me a lot,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,senior,WHO Suicide Prevention Guidance
stress_reaction,Honestly I feel tension in my body every day,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,Recently I cannot stop worrying a lot,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,adult,WHO Mental Health Gap Action Programme
depression_symptoms,These days I feel emotionally numb recently,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,senior,WHO Suicide Prevention Guidance
coping_mechanism,Honestly How do I manage stress better lately,Small daily self-care activities can support emotional resilience over time.,low,no,adult,WHO Psychological First Aid
professional_help,Honestly I think I need emotional support a lot,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,child,WHO Psychological First Aid
suicide_warning,Life feels pointless a lot,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,child,WHO Mental Health Gap Action Programme
mental_health_faq,Lately What are symptoms of burnout recently,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,child,WHO Mental Health Gap Action Programme
emotional_support,I feel emotionally weak lately,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,teen,WHO Suicide Prevention Guidance
stress_reaction,Sometimes I cannot manage my workload,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,teen,WHO Mental Health Gap Action Programme
anxiety_symptoms,Lately I cannot sleep because of anxiety a lot,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,child,WHO Suicide Prevention Guidance
depression_symptoms,Lately I feel hopeless about life,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,adult,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,How can I sleep better during stress lately,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,senior,WHO Suicide Prevention Guidance
professional_help,How do I know if I need professional help every day,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,teen,WHO Mental Health Gap Action Programme
suicide_warning,Sometimes I cannot continue anymore every day,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,adult,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,Lately What is depression every day,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,child,WHO Suicide Prevention Guidance
emotional_support,I need comfort every day,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,child,WHO Suicide Prevention Guidance
stress_reaction,Honestly My responsibilities are too much,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,child,WHO Psychological First Aid
anxiety_symptoms,Honestly I cannot stop worrying,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,child,WHO Suicide Prevention Guidance
depression_symptoms,I feel tired all the time recently,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,teen,WHO Suicide Prevention Guidance
coping_mechanism,What are healthy coping strategies and it worries me,Small daily self-care activities can support emotional resilience over time.,low,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,Honestly How do I ask for mental health help every day,"Reaching out for help shows strength, not weakness.",medium,no,adult,WHO Suicide Prevention Guidance
suicide_warning,I feel like ending my life lately,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,senior,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,These days Can stress affect physical health lately,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,child,WHO Psychological First Aid
emotional_support,Lately I just want support every day,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,These days I feel burned out every day,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,These days I feel nervous for no reason every day,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,child,WHO Suicide Prevention Guidance
depression_symptoms,These days I feel tired all the time a lot,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,teen,WHO Psychological First Aid
coping_mechanism,Lately How do I stop overthinking,Small daily self-care activities can support emotional resilience over time.,low,no,child,WHO Mental Health Gap Action Programme
professional_help,Honestly How do I know if I need professional help recently,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,Sometimes I do not want to live anymore recently,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,child,WHO Suicide Prevention Guidance
mental_health_faq,Honestly How common are mental illnesses lately,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,child,WHO Suicide Prevention Guidance
emotional_support,These days I just want support recently,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,Honestly I am mentally exhausted a lot,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,teen,WHO Suicide Prevention Guidance
anxiety_symptoms,These days I feel nervous for no reason,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,Lately I feel disconnected from people,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,teen,WHO Suicide Prevention Guidance
coping_mechanism,Lately How can I calm myself down and it worries me,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,senior,WHO Mental Health Gap Action Programme
professional_help,I want to speak to a counselor,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,senior,WHO Suicide Prevention Guidance
suicide_warning,These days I want the pain to stop a lot,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,teen,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,Sometimes Can therapy help depression,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,senior,WHO Mental Health Gap Action Programme
emotional_support,Honestly I feel emotionally weak every day,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,adult,WHO Psychological First Aid
stress_reaction,Honestly I feel burned out,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,teen,WHO Mental Health Gap Action Programme
anxiety_symptoms,These days I feel anxious all the time a lot,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,Honestly I lost interest in everything recently,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,child,WHO Suicide Prevention Guidance
coping_mechanism,Sometimes How do I manage stress better every day,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,adult,WHO Psychological First Aid
professional_help,These days Do I need counseling,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,teen,WHO Psychological First Aid
suicide_warning,These days I am thinking about hurting myself recently,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,adult,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,Recently Is anxiety treatable lately,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,child,WHO Mental Health Gap Action Programme
